Crab ID,Parasitized?,Mass (g),Righting Time (s),Week
P-1 [12],Y,2.53,0.83,0
P-2 [22],Y,2.53,0.63,0
P-3 [23],Y,1.96,4.3,0
P-4 [24],Y,3.07,1.8,0
P-5 [25],Y,1.46,0.5,0
P-6 [6],Y,1.81,0.58,0
H-1 [11],N,2.18,0.28,0
H-2 [12],N,2.81,0.45,0
H-3 [13],N,1.69,0.33,0
H-4 [14],N,2.37,1.09,0
H-5 [15],N,2.02,0.23,0
H-6 [16],N,1.86,0.31,0
P-1 [12],Y,2.71,0.46,1
P-2 [22],Y,2.56,0.45,1
P-3 [23],Y,2.04,1,1
P-4 [24],Y,3.22,1.6,1
P-5 [25],Y,1.33,0.95,1
P-6 [6],Y,1.82,6.14,1
H-1 [11],N,2.51,0.43,1
H-2 [12],N,3.29,1.6,1
H-3 [13],N,1.71,0.76,1
H-4 [14],N,2.37,8.73,1
H-5 [15],N,2.02,0.41,1
H-6 [16],N,1.83,0.5,1
